nickname,team,conference,rating,lat,long,coords,score,wins,losses
Word,Incarnate Word,SOUTHLAND,76.41,29.46728343,-98.46986132,"(29.4673,-98.4699)",0,,
PVAM,Prairie View A&M,SWAC-WEST,37.03,30.09115259,-95.99441528,"(30.0912,-95.9944)",0,,
Stet,Stetson,PIONEER,19.75,29.01950783,-81.30031862,"(29.0195,-81.3003)",0,,
SD,San Diego,PIONEER,31.49,32.7734961,-117.1837979,"(32.7735,-117.1838)",0,,
But,Butler,PIONEER,27.38,39.84429757,-86.16624191,"(39.8443,-86.1662)",0,,
URI,Rhode Island,COLONIAL,50.58,41.48805753,-71.53452264,"(41.4881,-71.5345)",0,,
Mari,Marist,PIONEER,19.07,41.71892738,-73.93262386,"(41.7189,-73.9326)",0,,
Hous,Houston,AAC,71.51,29.75225056,-95.35233736,"(29.7523,-95.3523)",0,,
Valp,Valparaiso,PIONEER,21.08,41.46517881,-87.04783453,"(41.4652,-87.0478)",0,,
Camp,Campbell,BIG SOUTH,44.03,35.40471835,-78.74297959,"(35.4047,-78.743)",0,,
Bry,Bryant,BIG SOUTH,39.91,41.92404512,-71.53801189,"(41.924,-71.538)",0,,
Mon,Monmouth,COLONIAL,41.30,40.27933332,-74.00947452,"(40.2793,-74.0095)",0,,
ChSo,Charleston Southern,BIG SOUTH,36.53,32.97835006,-80.06846858,"(32.9784,-80.0685)",0,,
SacH,Sacred Heart,NORTHEAST,41.43,41.21945018,-73.2456173,"(41.2195,-73.2456)",0,,
CeCT,Central Connecticut,NORTHEAST,28.87,41.69513675,-72.76143216,"(41.6951,-72.7614)",0,,
StFr,Saint Francis,NORTHEAST,56.63,40.50635956,-78.63697299,"(40.5064,-78.637)",0,,
Wag,Wagner,NORTHEAST,17.09,40.61732454,-74.09543124,"(40.6173,-74.0954)",0,,
RoMo,Robert Morris,BIG SOUTH,21.52,40.52117231,-80.2162993,"(40.5212,-80.2163)",0,,
GeoT,Georgetown,PATRIOT,25.47,38.90803281,-77.07540035,"(38.908,-77.0754)",0,,
Duq,Duquesne,NORTHEAST,34.83,40.43562178,-79.99015091,"(40.4356,-79.9902)",0,,
