nickname,team,conference,rating,lat,long,coords,score,wins,losses
MidT,Middle Tennessee,CONF-USA,59.65,35.8511090805408,-86.3684499263763,"(35.8511,-86.3684)",2,FIU Char ,Vand WKU GaSt MiaO Tuls FAU 
Bowl,Bowling Green,MAC-EAST,55.1,41.3780543980322,-83.6224821209907,"(41.3781,-83.6225)",2,EMU NW ,Tol Akr Ohio MiaO Ball CMU 
Colo,Colorado,PAC-12 SOUTH,54.03,40.0093983744632,-105.266886949539,"(40.0094,-105.2669)",2,Wyo UTEP ,AF CoSt UtSt ASU Hawa UNM 
Rice,Rice,CONF-USA,53.96,29.7162340290943,-95.4092645645141,"(29.7162,-95.4093)",2,TxSt ULM ,Hou UTSA NoTX LaTe SoMS UTex 
ArSt,Arkansas State,SUN BELT WEST,53.42,35.8489900953236,-90.6676949436291,"(35.849,-90.6677)",2,Tuls Vand ,Memp LaTe SoMS Mizz KU NoTX 
Nev,Nevada,MWC-WEST,53.04,39.5469248501715,-119.817559719085,"(39.5469,-119.8176)",2,Hawa UtSt ,BoSt Stan UCLA OrSt FrSt SDSU 
TxSt,Texas State,SUN BELT WEST,52.61,29.8913445487971,-97.9253118055946,"(29.8913,-97.9253)",2,UTSA ULM ,UTex Bay Rice Hou NoTX SMU 
UTEP,UTEP,CONF-USA,57.65,31.7733453051277,-106.507896780967,"(31.7733,-106.5079)",1,ASU ,Ariz UNM TTU UTSA SDSU Colo UtSt 
NIU,NIU,MAC-WEST,56.32,41.934014,-88.778222,"(41.934,-88.7782)",1,WMU ,NW Wisc Purd CMU Iowa Vand Buff 
ULM,ULM,SUN BELT WEST,54.31,32.5310686945154,-92.0664407506764,"(32.5311,-92.0664)",1,LaTe ,Memp Lous SoMS Rice Tuls TxSt FIU 
Char,Charlotte,CONF-USA,49.09,35.310280676164,-80.7404937710652,"(35.3103,-80.7405)",1,FIU ,Wake App Duke CCar USCe BC MidT 
FIU,FIU,CONF-USA,43.16,25.752492787474,-80.3778648376464,"(25.7525,-80.3779)",1,ULM ,Mia USF FAU GASO Char MidT UCF 
