nickname,team,conference,rating,lat,long,coords,score,wins,losses
NW,Northwestern,BIG TEN-WEST,62.73,42.0653996675299,-87.6924955844879,"(42.0654,-87.6925)",2,NIU WMU ,Ill Ind Wisc CMU Bowl Purd Buff 
UtSt,Utah State,MWC-MOUNTAIN,59.84,41.7515318861288,-111.812105678856,"(41.7515,-111.8121)",2,Colo UTEP ,Utah WSU Nev OrSt Wyo SDSU BoSt 
UTEP,UTEP,CONF-USA,57.65,31.7733453051277,-106.507896780967,"(31.7733,-106.5079)",2,ASU ULM ,Ariz UNM TTU UTSA SDSU Colo UtSt 
Bowl,Bowling Green,MAC-EAST,55.1,41.3780543980322,-83.6224821209907,"(41.3781,-83.6225)",2,EMU NW ,Tol Akr Ohio MiaO Ball CMU BC 
Colo,Colorado,PAC-12 SOUTH,54.03,40.0093983744632,-105.266886949539,"(40.0094,-105.2669)",2,Wyo UTEP ,AF CoSt UtSt ASU Hawa UNM TxSt 
Rice,Rice,CONF-USA,53.96,29.7162340290943,-95.4092645645141,"(29.7162,-95.4093)",2,TxSt ULM ,Hou UTSA NoTX LaTe SoMS UTex FAU 
ArSt,Arkansas State,SUN BELT WEST,53.42,35.8489900953236,-90.6676949436291,"(35.849,-90.6677)",2,Tuls Vand ,Memp LaTe SoMS Mizz KU NoTX MidT 
Nev,Nevada,MWC-WEST,53.04,39.5469248501715,-119.817559719085,"(39.5469,-119.8176)",2,Hawa UtSt ,BoSt Stan UCLA OrSt FrSt SDSU Wyo 
FIU,FIU,CONF-USA,43.16,25.752492787474,-80.3778648376464,"(25.7525,-80.3779)",2,ULM NIU ,Mia USF FAU GASO Char MidT UCF 
NIU,NIU,MAC-WEST,56.32,41.934014,-88.778222,"(41.934,-88.7782)",1,WMU ,NW Wisc Purd CMU Iowa Vand Buff FIU 
ULM,ULM,SUN BELT WEST,54.31,32.5310686945154,-92.0664407506764,"(32.5311,-92.0664)",1,LaTe ,Memp Lous SoMS Rice Tuls TxSt FIU UTEP 
Char,Charlotte,CONF-USA,49.09,35.310280676164,-80.7404937710652,"(35.3103,-80.7405)",1,FIU ,Wake App Duke CCar USCe BC MidT UNC 
